name,score
Скотт Пилигрим против всех,10
Хранители,10
Триплексоголик,10
Амнезия сумеречной девы,9
Джессика Джонс,9
Истории ран. Часть 1: Железная кровь,9
Истории ран. Часть 2: Горячая кровь,9
Код Гиас: Восставший Лелуш,9
Код Гиас: Восставший Лелуш 2,9
Повседневная жизнь старшеклассников,9
Страна самоцветов,9
Убийца Акамэ!,9
Этот глупый свин не понимает мечту девочки-зайки,9
Милый во Франксе,8
Реальная девушка,8
Истории ран. Часть 3: Холодная кровь,8
Безумный азарт,8
Буря потерь,8
Королевский гамбит,8
Город в котором меня нет,8
Банановая рыба,8
Несчастная,8
Блокнот бога,7
Восхождение героя щита,7
Готика,7
Добро пожаловать в класс превосходства,7
Классические истории,7
Школьная жизнь!,7
Этот замечательный мир! 2,7
SK8: На скейте в бесконечность,7
Повелитель тьмы на подработке!,7
Я побрился. Затем привёл домой старшеклассницу,7
Усопшие,6
Коллекция Дзюндзи Ито,6
Сайт волшебниц,6
Загадка истории дьявола,6
Зло или жизнь,6
Укрась прощальное утро цветами обещания,6
Патэма наоборот,6
Контроль,5
Инуясики,5
Врата Штейна 0,5
Девы Розена,5
Девочка-волшебница Мадока★Волшебство,4
Безумный азарт 2,4
Эльфийская песнь,4
Ведьмина служба доставки,3
Эксперименты Лэйн,1
Тайная история,1
Пристанище для потерянных,1
Ангел кровопролития,1
